學校,科系,項目,說明,指定項目甄試日期
靜宜大學,人工智慧應用學系,修課紀錄(A)、多元表現(F、J、M、N)、學習歷程自述(O、P、Q)、其他(R.其它有利審查資料)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.「審查資料準備指引」請至本校招生網頁查看 https://adms.pu.edu.tw/。 2.參加第二階段甄試之考生請務必於114年5月6日21:00前至甄選會網站勾選或上傳審查資料。 3.若有其他有助展現個人能力特質或學習表現，歡迎上傳至其他「R.其他有利審查資料」。,114.5.23至114.5.24
靜宜大學,人工智慧應用學系(APCS組),無資料,無資料,114.5.23至114.5.24
靜宜大學,人工智慧應用學系(資安組),修課紀錄(A)、多元表現(F、J、M、N)、學習歷程自述(O、P、Q)、其他(R.其它有利審查資料)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,"1.「審查資料準備指引」請至本校招生網頁查看 https://adms.pu.edu.tw/。  2.請提供資安檢測(如APCS等)、資安競賽相關成果或學習經歷表現，或其他有助展現個人能力特質之有利審查資料。
3.請務必於114年5月6日21:00前至甄選會網站勾選或上傳審查資料。",114.5.23至114.5.24
靜宜大學,晶片設計學士學位學程,修課紀錄(A)、多元表現(F、G、I、M、N)、學習歷程自述(O、P)、其他(R.其他有利審查資料)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.「審查資料準備指引」請至本校招生網頁查看 https://adms.pu.edu.tw/。 2.參加第二階段甄試之考生請務必於114年5月6日21:00前至甄選會網站勾選或上傳審查資料。 3.若有其他有助展現個人能力特質或學習表現，歡迎上傳至其他「R.其他有利審查資料」。,114.5.23至114.5.24
靜宜大學,寰宇管理學士學位學程,修課紀錄(A)、課程學習成果(B)、多元表現(F、L、M、N)、學習歷程自述(O、P)、其他(R.其它有利審查資料)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.「審查資料準備指引」請至本校招生網頁查看 https://adms.pu.edu.tw/。 2.參加第二階段甄試之考生請務必於114年5月6日21:00前至甄選會網站勾選或上傳審查資料。 3.若有其他有助展現個人能力特質或學習表現，歡迎上傳至其他「R.其他有利審查資料」。,114.5.23至114.5.24
靜宜大學,寰宇外語教育學士學位學程,修課紀錄(A)、課程學習成果(B)、多元表現(F、N)、學習歷程自述(O、P、Q)、其他(R.其它有利審查資料)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.「審查資料準備指引」請至本校招生網頁查看 https://adms.pu.edu.tw/。 2.參加第二階段甄試之考生請務必於114年5月6日21:00前至甄選會網站勾選或上傳審查資料。 3.若有其他有助展現個人能力特質或學習表現，歡迎上傳至其他「R.其他有利審查資料」。,114.5.23至114.5.24
靜宜大學,智慧媒體與創新科技應用學士學位學程,修課紀錄(A)、課程學習成果(B、C)、多元表現(F、K、L、M、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.「審查資料準備指引」請至本校招生網頁查看 https://adms.pu.edu.tw/。 2.參加第二階段甄試之考生請務必於114年5月6日21:00前至甄選會網站勾選或上傳審查資料。 3.若有其他有助展現個人能力特質或學習表現，歡迎上傳至其他「R.其他有利審查資料」。,114.5.23至114.5.24
大同大學,機械與材料工程學系,修課紀錄(A)、多元表現(F、J、K、M、N)、學習歷程自述(O、P)、其他(R.有助於審查之資料)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.16至114.5.17
大同大學,化學工程與生物科技學系,修課紀錄(A)、課程學習成果(B、C、D、E)、多元表現(F、M、N)、學習歷程自述(O、P、Q)、其他(R.有助於審查之資料) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.16至114.5.17
大同大學,工程學院學士班,修課紀錄(A)、課程學習成果(D)、多元表現(F、G、H、J、N)、學習歷程自述(O、P)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.16至114.5.17
大同大學,電機工程學系,修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、G、N)、學習歷程自述(O、P、Q)、其他(R.其它助於表現自我資料) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.16至114.5.17
大同大學,資訊工程學系,修課紀錄(A)、多元表現(F、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,其他有利審查的資料包括(但不限於)底下幾項：1.程式設計實作作品2.程式設計競賽成績3.程式設計檢定成績,114.5.16至114.5.17
大同大學,事業與資訊經營學系,修課紀錄(A)、課程學習成果(B)、多元表現(F、N)、學習歷程自述(O)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.16至114.5.17
大同大學,應用外語學系,修課紀錄(A)、課程學習成果(B)、多元表現(F、J、L、M、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,多元表現項目無需全部具備，至少具備一項(以上)即可。(L)檢定證照，可含全民英檢(GEPT)、多益測驗(TOEIC)、托福測驗(TOEFL)、雅思(IELTS)考試。(J)競賽表現(校內外語言相關競賽之獎狀、成績證明等)。學習歷程自述，學習歷程能展現申請者對於語言(含外語)學習、跨文化素養、人際溝通的表現。,114.5.16至114.5.17
大同大學,工業設計學系,修課紀錄(A)、課程學習成果(B、C)、多元表現(F、N)、學習歷程自述(O、P)、其他(R.思考創造之具體經驗、S.其他有利審查項目) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.多元表現可提供參加與設計相關課程或活動、校內外活動或其他多元表現資料與綜整心得。2.就讀動機可提供自我特質說明及對本系之瞭解。3.任何足以呈現人格特質與生活經驗的資料內容、各種可展現自我特色與能力的證明皆可上傳至其他有利審查項目。4.考生可不須全備審查資料項目,114.5.16至114.5.17
大同大學,數位媒體設計學系互動媒體設計組,修課紀錄(A)、課程學習成果(B、C)、多元表現(F、G、N)、學習歷程自述(O、P)、其他(R.有利於申請的資料、S.書審資料檢核表) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,•有利於申請的資料(Ｒ項)：請考生自行準備有利於申請之資料•書審資料檢核表(Ｓ項)：請依據媒體設計學系網頁公告之「審查重點與準備指引」及「書審資料檢索表」檔案製作。https://md.ttu.edu.tw/p/412-1064-2876.php,114.5.16至114.5.17
大同大學,數位媒體設計學系數位遊戲設計組,修課紀錄(A)、課程學習成果(B、C)、多元表現(F、G、N)、學習歷程自述(O、P)、其他(R.有利於申請的資料、S.書審資料檢核表) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,•有利於申請的資料(Ｒ項)：請考生自行準備有利於申請之資料•書審資料檢核表(Ｓ項)：請依據媒體設計學系網頁公告之「審查重點與準備指引」及「書審資料檢索表」檔案製作。https://md.ttu.edu.tw/p/412-1064-2876.php,114.5.16至114.5.17
大同大學,電機工程學系(青年儲蓄帳戶組),修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、G、N)、學習歷程自述(O、P、Q)、其他(R.其他助於表現自我資料、S.體驗學習報告書) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.多元表現可提供：(1)數理相關課程之專題成果或與科學領域相關研習之書面報告/實作作品；(2)社團、營隊、競賽活動等資料；(3)英文檢定相關證明；(4)其他多元學習資料證明。2.學習歷程自述中重視高中學習歷程反思與就讀動機。3.體驗資歷(體驗學習報告書)佔甄選總成績60%。,114.5.16至114.5.17
輔仁大學,中國文學系,修課紀錄(A)、課程學習成果(B、C)、多元表現(F、G、N)、學習歷程自述(O、P)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.本系提供低收入戶及中低收入戶考生擇優部份名額2名，於第二階段指定項目「審查資料」原始分數加10%優待。2.課程學習成果、多元表現與學習歷程自述之審查重點，請參閱本系網站公告之「書審重點與準備指引」。3.「書審重點與準備指引」將於114.3.1前公告於本系網頁http://www.chinese.fju.edu.tw,114.5.16114.5.17
輔仁大學,歷史學系,修課紀錄(A)、課程學習成果(B、E)、多元表現(F、G、N)、學習歷程自述(O、P)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.課程學習成果、多元表現與學習歷程自述之審查重點，請參閱本校招生資訊平台及本系網頁「招生資訊」項下公告之「書審重點與準備指引」。,114.5.17114.5.18
輔仁大學,哲學系,修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、N)、學習歷程自述(O、P)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,無,114.5.16114.5.17
輔仁大學,人文與社區創新學士學位學程,修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、G、I、N)、學習歷程自述(O、P)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.16114.5.17
輔仁大學,景觀設計學系,修課紀錄(A)、課程學習成果(B、C)、多元表現(J、K、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,審查資料上傳容量限制請依甄選委員會規定。,--
輔仁大學,景觀設計學系(青年儲蓄帳戶組),修課紀錄(A)、課程學習成果(B、C)、多元表現(J、K、N)、學習歷程自述(O、P、Q)、其他(R.體驗學習報告書)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.「體驗學習報告書」佔甄試總成績60%。 2.「審查資料」上傳容量限制請依甄選委員會規定。,--
輔仁大學,影像傳播學系,修課紀錄(A)、多元表現(F、N)、學習歷程自述(P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,本系希望招收具備「學習能力、多元表現與合作協調能力、自我探索與反思能力」之高中職學生。審查資料準備指引請至本系網頁查詢 http://www.commarts.fju.edu.tw/。,--
輔仁大學,新聞傳播學系,修課紀錄(A)、多元表現(F、N)、學習歷程自述(O、P)、其他(R.其他有利審查項目)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,審查資料相關準備指引請見本系網站http://jcs.tw。,114.5.18
輔仁大學,廣告傳播學系,修課紀錄(A)、多元表現(F、H、J、L、N)、學習歷程自述(P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,審查資料相關準備指引請見本系網站:http://www.adpr.fju.edu.tw/,114.5.17
輔仁大學,圖書資訊學系,修課紀錄(A)、課程學習成果(B、C)、多元表現(G、H、I、N)、學習歷程自述(O)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,本系希望能招收具有「專業養成能力」、「學習歷程反思能力」、「社會服務能力與多元表現」之高中(職)學生。,--
輔仁大學,教育領導與科技發展學士學位學程,修課紀錄(A)、課程學習成果(B、E)、多元表現(F、G、H、I、N)、學習歷程自述(O、P、Q)、其他(R.書審資料檢核表)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.請以學習歷程自述為核心，選擇合適的學習成果或表現予以輔助證明。2.相關評分標準及說明，請至學程網站查詢。,--
輔仁大學,護理學系,修課紀錄(A)、多元表現(H、I、L、N)、學習歷程自述(P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,多元表現(H、I、L) 以近三年取得為限。,114.5.15
輔仁大學,公共衛生學系,修課紀錄(A)、課程學習成果(B、D、E)、多元表現(F、G、I、N)、學習歷程自述(P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.17
輔仁大學,公共衛生學系(青年儲蓄帳戶組),修課紀錄(A)、課程學習成果(B、D、E)、多元表現(F、G、I、N)、學習歷程自述(P、Q)、其他(R.體驗學習報告書)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,"1.修課紀錄、課程學習成果、多元表現及學習歷程自述佔甄選總成績20%。 
2.體驗學習報告書佔甄選總成績60%。",114.5.17
輔仁大學,醫學系,修課紀錄(A)、課程學習成果(D)、多元表現(F、G、I、N)、學習歷程自述(O、P)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,學習歷程自述表格請於醫學系網頁下載。,114.5.17
輔仁大學,醫學系(公費生),修課紀錄(A)、課程學習成果(D)、多元表現(F、G、I、N)、學習歷程自述(O、P)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,學習歷程自述表格請於醫學系網頁下載。,114.5.17
輔仁大學,臨床心理學系,修課紀錄(A)、課程學習成果(B、D、E)、多元表現(F、I、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,"學習歷程自述格式請由本系網頁下載。
※本系於招生名額內提供低收入戶及中低收入戶考生擇優部分名額2名，於第二階段指定項目「審查資料」原始分數加分10%優待。",114.5.16
輔仁大學,職能治療學系,修課紀錄(A)、多元表現(F、I、N)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.19
輔仁大學,呼吸治療學系,修課紀錄(A)、多元表現(F、G、I、N)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.16
輔仁大學,數學系資訊數學組,修課紀錄(A)、課程學習成果(B)、多元表現(F、N)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,審查重點及準備指引請至本校招生資訊平台查看。,114.5.16114.5.17
輔仁大學,數學系應用數學組,修課紀錄(A)、課程學習成果(B)、多元表現(F、N)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,審查重點及準備指引請至本校招生資訊平台查看。,114.5.16114.5.17
輔仁大學,化學系,修課紀錄(A)、多元表現(F、N)、學習歷程自述(Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.17114.5.18
輔仁大學,資訊工程學系,修課紀錄(A)、課程學習成果(B、C)、多元表現(F、N)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,審查重點及準備指引請至本校招生資訊平台查看。,114.5.16114.5.17
輔仁大學,資訊工程學系(APCS組),無資料,無資料,114.5.16
輔仁大學,生命科學系,修課紀錄(A)、課程學習成果(B)、多元表現(F、N)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),--
輔仁大學,生命科學系(青年儲蓄帳戶組),修課紀錄(A)、課程學習成果(B)、多元表現(F、N)、其他(R.體驗學習報告書)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,『體驗學習報告書』佔甄試總成績60%,--
輔仁大學,物理學系電子物理組,修課紀錄(A)、課程學習成果(B)、多元表現(F、N)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.17114.5.18
輔仁大學,物理學系光電物理組,修課紀錄(A)、課程學習成果(B)、多元表現(F、N)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.17114.5.18
輔仁大學,電機工程學系,修課紀錄(A)、課程學習成果(B、C)、多元表現(F、J、M、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),--
輔仁大學,電機工程學系(APCS組),無資料,無資料,--
輔仁大學,醫學資訊與創新應用學士學位學程,修課紀錄(A)、課程學習成果(B、C)、多元表現(F、N)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.16114.5.17
輔仁大學,醫學資訊與創新應用學士學位學程(資安組),修課紀錄(A)、課程學習成果(B、C)、多元表現(F、J、L、M、N)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,課程學習成果，請提供修讀之高中資訊課程。 多元表現(L)，提供APCS尤佳，亦可補充其他資安相關檢定成果。 多元表現(J)，提供AIS3、臺灣好厲駭競賽成果尤佳，亦可補充其他資安相關競賽成果。,114.5.16
輔仁大學,人工智慧與資訊安全學士學位學程,修課紀錄(A)、課程學習成果(B、C)、多元表現(F、N)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.16114.5.17
輔仁大學,人工智慧與資訊安全學士學位學程(資安組),修課紀錄(A)、課程學習成果(B、C)、多元表現(F、J、L、M、N)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,課程學習成果，請提供修讀之高中資訊課程。 多元表現(L)，提供APCS尤佳，亦可補充其他資安相關檢定成果。 多元表現(J)，提供AIS3、臺灣好厲駭競賽成果尤佳，亦可補充其他資安相關競賽成果。,114.5.16
輔仁大學,英國語文學系,修課紀錄(A)、多元表現(J、L、M、N)、學習歷程自述(O)、其他(R.輔大英文系個人申請表)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.多元表現、多元表現綜整心得及學習歷程自述格式說明請詳閱本系備審資料準備指引。2.申請表之電子檔案請至本系網站http://english.fju.edu.tw/下載,114.5.16114.5.17
輔仁大學,法國語文學系,修課紀錄(A)、課程學習成果(B)、多元表現(M、N)、學習歷程自述(O、P)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.學習歷程自述(O.高中學習歷程反思、P.就讀動機)格式說明請詳閱本系備審資料準備指引。2.審查資料各項目成績比例，請詳見本系網頁。3.本系於招生名額內提供低收入戶考生加分優待：於第二階段指定項目「審查資料」擇優3名，原始分數總分加分5%。,114.5.16114.5.17
輔仁大學,西班牙語文學系,修課紀錄(A)、多元表現(F、L、M、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.多元表現(L.檢定證照)若為高中第二外語西語學分與成績證明、預修大學西語專班學分證明或符合CEFR西語能力檢測證明者尤佳。2.學習歷程自述(O.高中學習歷程反思P.就讀動機 Q.未來學習計畫與生涯規劃)格式說明請詳閱本系備審資料準備指引。3.審查資料各項目成績比例，請詳見本系網頁。,--
輔仁大學,日本語文學系,修課紀錄(A)、多元表現(F、H、J、L、N)、學習歷程自述(O、P)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,多元表現L項檢定證照限英、日語。含國際性英語檢定證照、大考中心英聽測驗、日語能力檢定證書，或預修大學日語專班、高中第二外語日語課程之修讀成績證明。,114.5.18114.5.19
輔仁大學,義大利語文學系,修課紀錄(A)、課程學習成果(B)、多元表現(F、G、J、L、N)、學習歷程自述(P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.學系歷程自述(P.就讀動機、Q.未來學習計畫與生涯規劃)格式說明請詳見本系備審資料準備指引。2.審查資料各項目成績比例，請詳見本系網站。,114.5.16114.5.17
輔仁大學,德語語文學系,修課紀錄(A)、課程學習成果(B)、多元表現(F、M、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.學習歷程自述(O.高中學習歷程反思、P.就讀動機、Q.未來學習計畫與生涯規劃)項目限用本系指定格式，表格請至本系網頁下載。2.審查資料各項目成績比例，詳見本系網站。,--
輔仁大學,國際溝通與科技創新學士學位學程,修課紀錄(A)、課程學習成果(B)、多元表現(F、L、M、N)、學習歷程自述(O、P)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.學習歷程自述(O.高中學習歷程反思、P.就讀動機)格式說明請詳閱本學程備審資料準備指引。2.審查資料各項目成績比例，請詳見本學程網頁。,114.5.18114.5.19
輔仁大學,織品服裝學系織品設計組,修課紀錄(A)、課程學習成果(C)、多元表現(F、N)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.16
輔仁大學,織品服裝學系服飾設計組,修課紀錄(A)、課程學習成果(C)、多元表現(F、N)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.16
輔仁大學,織品服裝學系織品服飾行銷組,修課紀錄(A)、課程學習成果(B)、多元表現(F、N)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.16
輔仁大學,餐旅管理學系,修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、G、H、K、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),--
輔仁大學,兒童與家庭學系,修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、G、I、K、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),--
輔仁大學,食品科學系,修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、G、H、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.請至本系官網參考審查資料準備重點指引。2.本系網址:https://www.fs.fju.edu.tw/ 聯絡電話:02-2905-2511,114.5.17
輔仁大學,營養科學系,修課紀錄(A)、課程學習成果(B、C、D、E)、多元表現(F、G、I、K、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,審查資料依據：修課紀錄佔30%、課程學習成果佔25%、學習歷程自述佔25%、多元表現佔20%,114.5.16
輔仁大學,法律學系,修課紀錄(A)、課程學習成果(B、E)、多元表現(F、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),--
輔仁大學,財經法律學系,修課紀錄(A)、課程學習成果(B)、多元表現(F、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),--
輔仁大學,企業管理學系,修課紀錄(A)、課程學習成果(B、C)、多元表現(F、G、L、M、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.19
輔仁大學,會計學系,修課紀錄(A)、多元表現(F、G、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查項目)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.請至本系官網參考審查資料準備重點指引。2.本系網址:http://www.acct.fju.edu.tw 聯絡電話:02-2905-2660 李秘書。,--
輔仁大學,資訊管理學系,修課紀錄(A)、多元表現(F、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.17
輔仁大學,資訊管理學系(APCS組),無資料,無資料,114.5.17
輔仁大學,統計資訊學系,修課紀錄(A)、課程學習成果(D、E)、多元表現(F、G、H、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.16
輔仁大學,金融與國際企業學系,修課紀錄(A)、多元表現(F、J、L、M、N)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.16
輔仁大學,社會學系,修課紀錄(A)、課程學習成果(E)、多元表現(F、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.17114.5.18
輔仁大學,社會工作學系,修課紀錄(A)、課程學習成果(B)、多元表現(F、N)、學習歷程自述(O)、其他(R.自我認識)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,其他「自我認識」請依照本系網頁公告書面指引上傳。,--
輔仁大學,經濟學系,修課紀錄(A)、多元表現(L、M、N)、學習歷程自述(P、Q)、其他(R.其他有利於審查之資料)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),--
輔仁大學,宗教學系,修課紀錄(A)、課程學習成果(B)、多元表現(F、N)、學習歷程自述(P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.16114.5.17
輔仁大學,心理學系,修課紀錄(A)、課程學習成果(B、C、D、E)、多元表現(F、G、I、K、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,審查資料的目的，在了解申請人的動機、態度、價值觀，由特質剖面與心理學的契合性進行綜合考量。,--
輔仁大學,天主教研修學士學位學程,修課紀錄(A)、課程學習成果(B)、多元表現(I、N)、學習歷程自述(Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,審查重點及準備指引請至本校招生資訊平台查看。,--
輔仁大學,音樂學系應用音樂組,無資料,無資料,114.5.17
輔仁大學,音樂學系器樂組,無資料,無資料,--
輔仁大學,音樂學系爵士音樂組,無資料,無資料,114.5.17
輔仁大學,應用美術學系,無資料,無資料,114.5.16114.5.17
輔仁大學,體育學系體育學組,無資料,無資料,114.5.17114.5.18
輔仁大學,體育學系運動健康管理組,無資料,無資料,114.5.17114.5.18
國立臺灣海洋大學,商船學系,修課紀錄(A)、課程學習成果(B、D)、多元表現(J、L、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,「L」檢定證照請提供語言能力檢定證明或其他技能證照。「R」其他有利於審查資料自由繳交。,--
國立臺灣海洋大學,航運管理學系,修課紀錄(A)、課程學習成果(B、E)、多元表現(G、J、L、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,「L.檢定證照」：請提供英語能力檢定證明為佳。,--
國立臺灣海洋大學,運輸科學系A組,修課紀錄(A)、課程學習成果(B)、多元表現(F、J、K、L、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,「L.檢定證照」：請提供英語能力檢定證明為佳。,--
國立臺灣海洋大學,運輸科學系B組,修課紀錄(A)、課程學習成果(B、D)、多元表現(F、J、K、L、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,「L.檢定證照」：請提供英語能力檢定證明為佳。,--
國立臺灣海洋大學,輪機工程學系,修課紀錄(A)、課程學習成果(B、D)、多元表現(F、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),--
國立臺灣海洋大學,食品科學系,修課紀錄(A)、課程學習成果(B、D)、多元表現(G、J、L、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,「L」檢定證照指英文語言能力檢定證明。,--
國立臺灣海洋大學,水產養殖學系,修課紀錄(A)、課程學習成果(B、D)、多元表現(G、J、L、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),--
國立臺灣海洋大學,生命科學暨生物科技學系,修課紀錄(A)、課程學習成果(B、D)、多元表現(G、J、L、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,「L」檢定證照指英語語言能力檢定證明或其他技能證照。,114.5.20至114.5.21
國立臺灣海洋大學,系統工程暨造船學系,修課紀錄(A)、課程學習成果(B、D)、多元表現(F、J、L、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),--
